"city","country","name","japanese_name","address","japanese_address","capacity","image_url"
"Crowborough, East Sussex","England","Crowborough Community Stadium","クロウバラコミュニティスタジアム","Fermor Road","","2000","https://media.api-sports.io/football/venues/11729.png"
"Deal, Kent","England","The Charles Sports Ground","チャールズスポーツグラウンド","St Leonards Road","","1000","https://media.api-sports.io/football/venues/11730.png"
"Market Deeping, Lincolnshire","England","Deeping Sports Club","ディピングスポーツクラブ","Outgang Road","","2000","https://media.api-sports.io/football/venues/11731.png"
"Desborough, Northamptonshire","England","SG Pathway Academy Arena","SG パスウェイ アカデミー アリーナ","Braybrooke Road","","1000","https://media.api-sports.io/football/venues/19851.png"
"Banbury, Oxfordshire","England","Addison Road","アディソンロード","Addison Road","","1000","https://media.api-sports.io/football/venues/11733.png"
"East Preston, West Sussex","England","Lashmar Recreation Ground","ラッシュマーレクリエーショングラウンド","Roundstone Drive","","2000","https://media.api-sports.io/football/venues/11734.png"
"Eastbourne, East Sussex","England","The Saffrons Football Ground","サフランズ フットボール グラウンド","Compton Place Road / Mead Road","","4500","https://media.api-sports.io/football/venues/6218.png"
"Eastbourne, East Sussex","England","The Oval","オーバル","Channel View Road","","4100","https://media.api-sports.io/football/venues/11735.png"
"Wrose Bradford, West Yorkshire","England","Mitton Group Stadium","ミトングループスタジアム","Kingsway","","2225","https://media.api-sports.io/football/venues/11736.png"
"Egham, Surrey","England","The Runnymede Stadium","ラニーメードスタジアム","Wards Place","","1565","https://media.api-sports.io/football/venues/6219.png"
"Ely, Cambridgeshire","England","The Unwin Ground","勝ち目のない土地","Downham Road","","2000","https://media.api-sports.io/football/venues/11737.png"
"Bishop&apos;s Stortford, Hertfordshire","England","The RDA Stadium","RDAスタジアム","Dunmow Road","","4525","https://media.api-sports.io/football/venues/20882.png"
"Exmouth, Devonshire","England","King George V Ground","キングジョージ5世グラウンド","Southern Road","","1000","https://media.api-sports.io/football/venues/11738.png"
"Eynesbury, St. Neots","England","The Alfred Hall Memorial Ground","アルフレッド・ホール記念グラウンド","Hall Road","","1000","https://media.api-sports.io/football/venues/11739.png"
"Fairford","England","S.E.M. Stadium","S.E.M. スタジアム","Cinder Lane","","1500","https://media.api-sports.io/football/venues/19852.png"
"Fakenham, Norfolk","England","Clipbush Park","クリップブッシュパーク","Clipbush Lane","","2000","https://media.api-sports.io/football/venues/12170.png"
"Fareham, Hampshire","England","Cams Alders Stadium","カムズ アルダーズ スタジアム","","","5500","https://media.api-sports.io/football/venues/11741.png"
"Farnham, Surrey","England","The Memorial Ground Farnham","メモリアルグラウンドファーナム","Mead Lane / West Street","","1500","https://media.api-sports.io/football/venues/12171.png"
"London","England","St Pauls’ Sports Ground","セントポール運動場","Salter Road, London Borough of Southwark","","1000","https://media.api-sports.io/football/venues/11742.png"
"Flackwell Heath, Buckinghamshire","England","Wilks Park","ウィルクスパーク","Heath End Road","","1000","https://media.api-sports.io/football/venues/11743.png"
"Fleet, Hampshire","England","The Mustard Seed Stadium","マスタードシードスタジアム","Crookham Road","","2000","https://media.api-sports.io/football/venues/20883.png"
"Frimley Green, Camberley","England","The Frimley Green Recreation Ground","フリムリーグリーンレクリエーショングラウンド","","","2000","https://media.api-sports.io/football/venues/11744.png"
"Garforth, West Yorkshire","England","Wheeley Park Stadium","ウィーリーパークスタジアム","Brierlands Lane off Cedar Ridge","","3000","https://media.api-sports.io/football/venues/20884.png"
"Chiselhurst, Greater London","England","Foxbury Avenue","フォックスベリーアベニュー","Foxbury Avenue (off Perry Street)","","1000","https://media.api-sports.io/football/venues/11745.png"
"Godmanchester, Cambridgeshire","England","Bearscroft Lane","ベアスクロフト レーン","Bearscroft Lane","","1050","https://media.api-sports.io/football/venues/11746.png"
"Goole, East Yorkshire","England","Victoria Pleasure Grounds","ビクトリア プレジャー グラウンド","Marcus Street","","3000","https://media.api-sports.io/football/venues/6224.png"
"Gorleston-On-Sea, Norfolk","England","Emerald Park","エメラルドパーク","Woodfarm Lane","","3000","https://media.api-sports.io/football/venues/11747.png"
"London","England","DGS Marine Stadium","DGSマリンスタジアム","Middle Park Avenue, Eltham","","1000","https://media.api-sports.io/football/venues/5503.png"
"Church Gresley, Derbyshire","England","The Moat Ground","堀の広場","Moat Street","","2400","https://media.api-sports.io/football/venues/6225.png"
"Grimsby, Lincolnshire","England","Bradley Community Stadium","ブラッドリーコミュニティスタジアム","Bradley Road","","1000","https://media.api-sports.io/football/venues/11748.png"
"Guildford, Surrey","England","Guildford Spectrum Athletics Stadium","ギルフォード スペクトラム アスレチックス スタジアム","","","1135","https://media.api-sports.io/football/venues/6226.png"
"Guisborough, North Yorkshire","England","King George V Ground","キングジョージ5世グラウンド","","","3500","https://media.api-sports.io/football/venues/11749.png"
"Hadleigh, Suffolk","England","Millfield","ミルフィールド","Tinkers Lane","","3000","https://media.api-sports.io/football/venues/11750.png"
"London","England","Hadley Sports Ground","ハドリースポーツグラウンド","Brickfield Lane, Arkley, Barnet","","1000","https://media.api-sports.io/football/venues/11751.png"
"Sheffield","England","Sandygate Road","サンディゲートロード","Sandygate Road","","1000","https://media.api-sports.io/football/venues/18968.png"
"Hallen, Gloucestershire","England","The Hallen Centre","ハレンセンター","Moorhouse Lane","","2000","https://media.api-sports.io/football/venues/11752.png"
"Halstead, Essex","England","Milbank Stadium","ミルバンクスタジアム","Rosemary Lane","","1000","https://media.api-sports.io/football/venues/20885.png"
"Hamble-le-Rice, Hampshire","England","The Abbey","修道院","Hamble Lane","","1000","https://media.api-sports.io/football/venues/11753.png"
"Poole, Dorset","England","The Sunseeker International County Ground","サンシーカーインターナショナルカウンティグラウンド","Blandford Close, Hamworthy","","1000","https://media.api-sports.io/football/venues/18688.png"
"Sheffield, South Yorkshire","England","Olivers Mount","オリバーズマウント","Olivers Mount, Darnall","","1000","https://media.api-sports.io/football/venues/18819.png"
"Hanley","England","Payaro Stadium","パヤロスタジアム","Abbey Lane, Bucknall, Stoke-on-Trent","","750","https://media.api-sports.io/football/venues/12691.png"
"Hanworth, Middlesex","England","Rectory Meadow","レクトリーメドウ","Park Road, Hanworth","","600","https://media.api-sports.io/football/venues/11756.png"
"Market Harborough, Leicestershire","England","Bowden Park","ボウデンパーク","Northampton Road","","1000","https://media.api-sports.io/football/venues/11757.png"
"London","England","Preston Park","プレストンパーク","Harefield, Borough of Hillingdon","","1500","https://media.api-sports.io/football/venues/11758.png"
"Harpenden, Hertfordshire","England","Rothamsted Park","ロザムステッドパーク","33 High Street","","1000","https://media.api-sports.io/football/venues/11759.png"
"Harrogate, West Yorkshire","England","Station View","ステーションビュー","Station View","","3500","https://media.api-sports.io/football/venues/6228.png"
"Hassocks, West Sussex","England","The Beacon Ground","ビーコングラウンド","Brighton Road","","1500","https://media.api-sports.io/football/venues/11760.png"
"Shrewsbury","England","Shrewsbury Sports Village","シュルーズベリー スポーツ ビレッジ","Sundorne Rd","","1000","https://media.api-sports.io/football/venues/11761.png"
"Haverhill, Suffolk","England","The New Croft","ニュークロフト","Chalkestone Way","","2000","https://media.api-sports.io/football/venues/11762.png"
"Heanor, Derbyshire","England","The Town Ground","タウングラウンド","Mayfield Avenue","","1000","https://media.api-sports.io/football/venues/12172.png"
"Heather, Leicestershire","England","St. John's Park","セントジョンズパーク","Ravenstone Road","","1000","https://media.api-sports.io/football/venues/11763.png"
"Hebburn, Tyne and Wear","England","The Energy Check Sports Ground","エネルギーチェック運動場","North Drive / Victoria Road West","","1500","https://media.api-sports.io/football/venues/11764.png"
"Hemsworth, West Yorkshire","England","The MDC Sports Stadium","MDCスポーツスタジアム","Wakefield Road, Fitzwilliam","","2000","https://media.api-sports.io/football/venues/11765.png"
"Hoddesdon, Hertfordshire","England","The Stewart Edwards Stadium","スチュワート・エドワーズ・スタジアム","Park View","","3000","https://media.api-sports.io/football/venues/11766.png"
"Holbeach, Lincolnshire","England","Carters Park","カーターズパーク","","","2000","https://media.api-sports.io/football/venues/11767.png"
"Gillingham, Kent","England","Star Meadow Sports Club","スターメドウスポーツクラブ","Darland Avenue","","1000","https://media.api-sports.io/football/venues/11768.png"
"Holmer Green, Buckinghamshire","England","Airedale Park","エアデールパーク","Watchet Lane","","1000","https://media.api-sports.io/football/venues/11769.png"
"Horley, Surrey","England","The New Defence","新たな防衛","Anderson Way","","2000","https://media.api-sports.io/football/venues/11770.png"
"Horndean, Hampshire","England","Five Heads Park","ファイブ ヘッズ パーク","Park Five Heads Road","","1000","https://media.api-sports.io/football/venues/11771.png"
"Horsham, West Sussex","England","Gorings Mead","ゴリングスミード","Brighton Road","","1500","https://media.api-sports.io/football/venues/6229.png"
"Dibden","England","Hythe Garage Stadium","ハイスガレージスタジアム","Claypits Lane","","1000","https://media.api-sports.io/football/venues/18689.png"
"Salford, Greater Manchester","England","The RG3 Digital Stadium","RG3デジタルスタジアム","Silver Street, Irlam","","500","https://media.api-sports.io/football/venues/11772.png"
"Aylesford, Kent","England","K Sports","Kスポーツ","Station Road, Ditton","","1000","https://media.api-sports.io/football/venues/11773.png"
"Keynsham, Somerset","England","The AJN Stadium","AJNスタジアム","Bristol Road","","3001","https://media.api-sports.io/football/venues/11774.png"
"Kirkley, Suffolk","England","Walmer Road","ウォルマーロード","Walmer Road","","1500","https://media.api-sports.io/football/venues/11775.png"
"Knaphill, Surrey","England","Redding Way","レディングウェイ","","","1000","https://media.api-sports.io/football/venues/11776.png"
"Knaresborough","England","Knaresborough Town AFC Ground","ナールズボロ・タウンAFCグラウンド","3 Manse Lane","","1000","https://media.api-sports.io/football/venues/11777.png"
"Lancing, West Sussex","England","Culver Road","カルバーロード","Culver Road","","2000","https://media.api-sports.io/football/venues/11778.png"
"Leicester, Leicestershire","England","Hamilton Park","ハミルトンパーク","Sandhills Avenue","","1000","https://media.api-sports.io/football/venues/11779.png"
"Hinckley, Leicestershire","England","The Greene King Stadium (De Montfort Park)","グリーン キング スタジアム (デ モンフォート パーク)","Leicester Road","","4329","https://media.api-sports.io/football/venues/12135.png"
"Leighton Buzzard, Bedfordshire","England","Bell Close","ベルクローズ","Lake Street","","2800","https://media.api-sports.io/football/venues/6231.png"
"Hemel Hempstead, Hertfordshire","England","The LORDS Builders Merchants Stadium","ローズ・ビルダーズ・マーチャンツ・スタジアム","Pancake Lane, Leverstock Green","","1500","https://media.api-sports.io/football/venues/19238.png"
"Lichfield","England","Trade Tyre Community Stadium","トレードタイヤコミュニティスタジアム","Brownsfield Road","","1000","https://media.api-sports.io/football/venues/18820.png"
"Liverpool","England","Litherland Sports Park","リザーランド スポーツ パーク","Bootle","","1000","https://media.api-sports.io/football/venues/6232.png"
"Bexhill","England","Little Common Recreation Ground","リトルコモンレクリエーショングラウンド","Channel View Road","","1000","https://media.api-sports.io/football/venues/19853.png"
"Cleckheaton, West Yorkshire","England","Clayborn Stadium","クレイボーンスタジアム","Quaker Lane","","2200","https://media.api-sports.io/football/venues/11967.png"
"London Colney, Hertfordshire","England","Cotlandswick Playing Fields","コットランズウィック プレイング フィールド","North Orbital Road","","1000","https://media.api-sports.io/football/venues/11782.png"
"Long Eaton, Derbyshire","England","Grange Park","グランジパーク","Station Road","","1500","https://media.api-sports.io/football/venues/11783.png"
"Long Melford, Sudbury, Suffolk","England","Stoneylands","ストーニーランズ","New Rd","","1000","https://media.api-sports.io/football/venues/11784.png"
"Gloucester","England","Saw Mills End","ソーミルズエンド","Corinium Avenue","","500","https://media.api-sports.io/football/venues/11785.png"
"Longridge, Lancashire","England","The Recycling Lives Ground","リサイクルは地に生きる","Inglewhite Road","","1000","https://media.api-sports.io/football/venues/18863.png"
"Chatham, Kent","England","Martyn Grove","マーティン・グローブ","North Dane Way","","2000","https://media.api-sports.io/football/venues/11786.png"
"Loughborough, Leicestershire","England","Loughborough University Football Stadium","ラフバラー大学フットボールスタジアム","Loughborough University Road","","2500","https://media.api-sports.io/football/venues/11120.png"
"Liverpool","England","Anfield Sports Community Centre","アンフィールド スポーツ コミュニティ センター","132 Lower Breck Road, Anfield","","1000","https://media.api-sports.io/football/venues/12137.png"
"Loxwood, West Sussex","England","Loxwood Sports Association","ロックスウッドスポーツ協会","Sports Pavilion Plaistow Road","","1000","https://media.api-sports.io/football/venues/18821.png"
"Lutterworth, Leicestershire","England","Dunley Way","ダンリーウェイ","Dunley Way","","1000","https://media.api-sports.io/football/venues/11788.png"
"Lydney","England","Lydney Recreation Ground","リドニーレクリエーショングラウンド","Swan Rd","","1000","https://media.api-sports.io/football/venues/11789.png"
"Lye, West Midlands","England","The Sports Ground","スポーツグラウンド","Stourbridge Road","","1000","https://media.api-sports.io/football/venues/11790.png"
"Lymington, Hampshire","England","Lymington Sports Ground","リミントン スポーツ グラウンド","Southampton Road","","1000","https://media.api-sports.io/football/venues/11791.png"
"Maltby, South Yorkshire","England","Muglet Lane","マグレット レーン","Muglet Lane","","2150","https://media.api-sports.io/football/venues/11792.png"
"Malvern, Worcestershire","England","HD Anywhere Stadium","HD どこでもスタジアム","Langland Avenue","","4000","https://media.api-sports.io/football/venues/12174.png"
"March, Cambridgeshire","England","GER Sports Ground","GER スポーツグラウンド","10 Robingoodfellow&apos;s Lane","","1000","https://media.api-sports.io/football/venues/12175.png"
"Melton Mowbray, Leicestershire","England","Sign Right Park","右に駐車してください","Burton Road","","1000","https://media.api-sports.io/football/venues/12138.png"
"Mildenhall, Suffolk","England","Mildenhall Town Football Club Stadium","ミルデンホール タウン フットボール クラブ スタジアム","Recreation Way","","2000","https://media.api-sports.io/football/venues/6234.png"
"West Molesey, Surrey","England","The Herds Renault Stadium","ザ・ハーズ・ルノー・スタジアム","Walton Road","","4000","https://media.api-sports.io/football/venues/6235.png"
"Mulbarton, Norfolk","England","Mulberry Park","マルベリーパーク","New Village Hall, The Common","","1000","https://media.api-sports.io/football/venues/12176.png"
"Newcastle upon Tyne, Tyne and Wear","England","Sam Smith's Park","サム・スミス・パーク","37 Cherrywood, Walkergate","","2000","https://media.api-sports.io/football/venues/11793.png"
"Newhaven","England","Trafalgar Ground","トラファルガーグラウンド","Fort Road","","3000","https://media.api-sports.io/football/venues/11794.png"
"Newmarket, Suffolk","England","Cricket Field Road","クリケットフィールドロード","Cricket Field Road","","2750","https://media.api-sports.io/football/venues/11795.png"
"Newport Pagnell, Buckinghamshire","England","Willen Road","ウィレンロード","Willen Road","","500","https://media.api-sports.io/football/venues/11796.png"
"Newton Aycliffe, County Durham","England","Securicorp Stadium","セキュリコープ スタジアム","Moore Lane","","1000","https://media.api-sports.io/football/venues/20312.png"
"London","England","Berkeley Fields","バークレーフィールド","Berkeley Avenue, Greenford, Ealing","","2000","https://media.api-sports.io/football/venues/6236.png"
"North Shields, Tyne and Wear","England","Daren Persson Stadium","ダレン・ペルソン・スタジアム","West Percy Road","","1000","https://media.api-sports.io/football/venues/11798.png"
"Northallerton, North Yorkshire","England","The Calvert Stadium","カルバートスタジアム","Ainderby Road","","1500","https://media.api-sports.io/football/venues/12692.png"
"Northampton, Northamptonshire","England","Old Northamptonians Private Sports Ground","オールド ノーサンプトニアンズ プライベート スポーツ グラウンド","111 Ardington Road","","1000","https://media.api-sports.io/football/venues/11800.png"
"Norwich","England","Plantation Park","プランテーションパーク","Plantation Road, Biofield","","3000","https://media.api-sports.io/football/venues/6237.png"
"Oadby, Leicestershire","England","Greene King Park","グリーンキングパーク","Wigston Road","","3000","https://media.api-sports.io/football/venues/11801.png"
"Bath, Somerset","England","Lew Hill Memorial Ground","ルー・ヒル記念グラウンド","Combe Hay Lane, Odd Down","","1160","https://media.api-sports.io/football/venues/11802.png"
"Watford, Hertfordshire","England","The Boundary Stadium","バウンダリースタジアム","Altham Way, South Oxhey","","2000","https://media.api-sports.io/football/venues/11803.png"
"Padiham, Lancashire","England","Ruby Civil Arena","ルビーシビルアリーナ","Well Street","","1688","https://media.api-sports.io/football/venues/6238.png"
"Pagham, West Sussex","England","Nyetimber Lane","ナイティンバー レーン","Nyetimber Lane","","1500","https://media.api-sports.io/football/venues/11804.png"
"Peacehaven, East Sussex","England","Centenary Park","センテナリーパーク","Piddinghoe Avenue","","1500","https://media.api-sports.io/football/venues/18970.png"
"Barnsley, South Yorkshire","England","Church View Road","チャーチビューロード","Church View Road, Penistone","","1000","https://media.api-sports.io/football/venues/11805.png"
"Penrith, Cumbria","England","The World Group Stadium","ワールドグループスタジアム","","","1500","https://media.api-sports.io/football/venues/11806.png"
"Peterborough, Cambridgeshire","England","Branch Bros Stadium","ブランチブラザーズスタジアム","Chestnut Avenue, Dogsthorpe","","1500","https://media.api-sports.io/football/venues/11807.png"
"Portland, Dorset","England","The Camp & Satherley Stadium","キャンプ＆サザリースタジアム","Grove Road","","1000","https://media.api-sports.io/football/venues/18822.png"
"Potton, Bedfordshire","England","The Hollow","ザ・ホロウ","","","1000","https://media.api-sports.io/football/venues/11809.png"
"Gravesend, Kent","England","Elite Venue","エリート会場","Dunkirk Close","","1000","https://media.api-sports.io/football/venues/11810.png"
"Quorn, Leicestershire","England","Farley Way Stadium","ファーリーウェイスタジアム","Farley Way","","1400","https://media.api-sports.io/football/venues/11811.png"
"Warwick, Warwickshire","England","Townsend Meadow","タウンゼントメドウ","Hampton Road","","1000","https://media.api-sports.io/football/venues/11812.png"
"Raynes Park, London Borough of Merton","England","Prince George's Fields","プリンスジョージズフィールド","Grand Drive","","1500","https://media.api-sports.io/football/venues/11813.png"
"Reading, Berkshire","England","Rivermoor Stadium","リバームーアスタジアム","Scours Lane","","2162","https://media.api-sports.io/football/venues/11814.png"
"Ilford, Essex","England","Oakside Stadium","オークサイドスタジアム","Station Road, Barkingside","","3000","https://media.api-sports.io/football/venues/6241.png"
"Redhill, Surrey","England","Kiln Brow","キルン ブロウ","","","1500","https://media.api-sports.io/football/venues/6242.png"
"Almondsbury, South Gloucestershire","England","Oaklands Park Stadium","オークランズパークスタジアム","Gloucester Road","","1000","https://media.api-sports.io/football/venues/11815.png"
"Birmingham","England","Castle Vale Stadium","キャッスル・ヴェイル・スタジアム","Farnborough Road","","1500","https://media.api-sports.io/football/venues/11816.png"
"Rothwell, Northamptonshire","England","Sergeants Lawn","サージェンツ・ローン","Desborough Road","","1000","https://media.api-sports.io/football/venues/11817.png"
"Royal Wootton Bassett, Wiltshire","England","Gerrard Buxton Sports Ground","ジェラード・バクストン・スポーツグラウンド","Rylands Way","","2000","https://media.api-sports.io/football/venues/11818.png"
"Rugby, Warwikshire","England","Butlin Road","バトリンロード","Butlin Road","","6000","https://media.api-sports.io/football/venues/6243.png"
"Runcorn, Cheshire","England","Viridor Community Stadium","ヴィリドーコミュニティスタジアム","Sandy Lane","","1530","https://media.api-sports.io/football/venues/6244.png"
"Rusthall","England","The Jockey Stadium","ジョッキースタジアム","Nellington Road","","1000","https://media.api-sports.io/football/venues/12177.png"
"Warrington, Cheshire","England","Rylands Recreation Club","ライランズ レクリエーション クラブ","Gorsey Lane","","1000","https://media.api-sports.io/football/venues/6245.png"
"Saffron Walden, Essex","England","Catons Lane","ケイトンズ レーン","1 Catons Lane","","2000","https://media.api-sports.io/football/venues/11819.png"
"Saltash, Cornwall","England","Westaway Stadium","ウェスタウェイスタジアム","Callington Rd l","","1000","https://media.api-sports.io/football/venues/19854.png"
"Brighton, East Sussex","England","Hill Park","ヒルパーク","Hill Park, Coombe Vale","","1000","https://media.api-sports.io/football/venues/11820.png"
"Sawbridgeworth, Hertfordshire","England","Crofters End Stadium","クロフターズエンドスタジアム","Crofters End","","1500","https://media.api-sports.io/football/venues/18823.png"
"Seaham, County Durham","England","Independent Utility Advise Arena","独立ユーティリティアドバイスアリーナ","Byron Terrace","","500","https://media.api-sports.io/football/venues/18864.png"
"Selston","England","Mansfield Road","マンスフィールドロード","Mansfield Road","","1000","https://media.api-sports.io/football/venues/18824.png"
"Shaftesbury, Dorset","England","Cockrams Ground","コックラムズグラウンド","Coppice Street","","1000","https://media.api-sports.io/football/venues/11824.png"
"Woking, Surrey","England","Eastwood Leisure Centre","イーストウッドレジャーセンター","247A Albert Drive, Sheerwater","","1000","https://media.api-sports.io/football/venues/18971.png"
"Sheerness","England","The Total Power Stadium","トータルパワースタジアム","Holm Place, Minster on Sea","","1450","https://media.api-sports.io/football/venues/12693.png"
"Shepshed, Leicestershire","England","The Dovecote","鳩小屋","Butthole Lane","","2500","https://media.api-sports.io/football/venues/6246.png"
"Shepton Mallet, Somerset","England","The Playing Fields","競技場","","","2500","https://media.api-sports.io/football/venues/11826.png"
"Mansfield Woodhouse, Nottinghamshire","England","Debdale Park","デブデールパーク","Mallard Court","","1000","https://media.api-sports.io/football/venues/12178.png"
"Shildon, County Durham","England","Dean Street","ディーン ストリート","Dean Street","","4700","https://media.api-sports.io/football/venues/11827.png"
"Shoreham-by-Sea, West Sussex","England","Middle Road","ミドルロード","Middle Road","","1500","https://media.api-sports.io/football/venues/6247.png"
"Nailsworth, Gloucestershire","England","The Meadowbank Ground","メドウバンクグラウンド","Shortwood Road, Shortwood","","2000","https://media.api-sports.io/football/venues/6248.png"
"Shrivenham, Oxfordshire","England","The Recreation Ground","レクリエーショングラウンド","","","1000","https://media.api-sports.io/football/venues/11828.png"
"Silsden, Keighley, West Yorkshire","England","The Asda Foundation Stadium","アズダ財団スタジアム","Keighley Road","","2300","https://media.api-sports.io/football/venues/11829.png"
"Skelmersdale, Lancashire","England","JMO Sports Park","JMOスポーツパーク","Liverpool Road","","1000","https://media.api-sports.io/football/venues/6249.png"
"Sleaford, Lincolnshire","England","Eslaforde Park","エスラフォード公園","Boston Road","","1000","https://media.api-sports.io/football/venues/11830.png"
"Southend-on-Sea, Essex","England","The Arena Stadium","アリーナスタジアム","Northumberland Crescent","","6000","https://media.api-sports.io/football/venues/11831.png"
"Ashford, Middlesex","England","Spelthorne Sports Club","スペルソーン スポーツ クラブ","296 Staines Road West, Ashford Common","","1000","https://media.api-sports.io/football/venues/11832.png"
"London","England","Mile End Stadium","マイルエンドスタジアム","190 Burdett Road, Tower Hamlets","","2000","https://media.api-sports.io/football/venues/11833.png"
"Willenhall, West Midlands","England","Guardian Warehousing Arena","ガーディアン ウェアハウジング アリーナ","Noose Lane","","3660","https://media.api-sports.io/football/venues/19239.png"
"Blackpool, Lancashire","England","The Brian Addison Stadium","ブライアン・アディソン・スタジアム","School Road, Squires Gate","","2000","https://media.api-sports.io/football/venues/6250.png"
"Stanstead Abbotts, Hertfordshire","England","The Recreation Ground","レクリエーショングラウンド","","","1000","https://media.api-sports.io/football/venues/11835.png"
"Stansted Mountfitchet, Essex","England","Hargrave Park Stadium","ハーグレイブパークスタジアム","","","2000","https://media.api-sports.io/football/venues/11836.png"
"Colchester, Essex","England","The Hawthorns","ホーソンズ","New Farm Road, Stanway","","567","https://media.api-sports.io/football/venues/11837.png"
"Staveley, Derbyshire","England","Inkersall Road","インカーソールロード","Inkersall Road","","5000","https://media.api-sports.io/football/venues/11838.png"
"Steyning, West Sussex","England","Steyning Town Community Football Club","ステイニングタウンコミュニティフットボールクラブ","Shooting Field","","1000","https://media.api-sports.io/football/venues/11839.png"
"Stockton-on-Tees","England","The Map Group UK Stadium","マップグループ UK スタジアム","Bishopton Road West","","1800","https://media.api-sports.io/football/venues/11840.png"
"Stone, Staffordshire","England","Wellbeing Park","ウェルビーイングパーク","Yarnfield Lane, Yarnfield","","2000","https://media.api-sports.io/football/venues/12179.png"
"Stotfold","England","The JSJ Stadium","JSJスタジアム","New Roker Park, Arlesey Rd","","1000","https://media.api-sports.io/football/venues/18865.png"
"Stourport-on-Severn, Worcestershire","England","Walshes Meadow","ウォルシーズメドウ","Harrold Davies Drive","","2000","https://media.api-sports.io/football/venues/6251.png"
"Stowmarket, Suffolk","England","Greens Meadow Ground","グリーンズメドウグラウンド","Bury Road","","1000","https://media.api-sports.io/football/venues/12180.png"
"Street, Somerset","England","The Tannery Ground","タンナリーグラウンド","Middle Brooks Street","","1000","https://media.api-sports.io/football/venues/6252.png"
"Sunderland","England","Sunderland LGV Park","サンダーランド LGV パーク","Beechbrooke, Ryhope","","1500","https://media.api-sports.io/football/venues/18825.png"
"Sunderland","England","Ryhope Recreation Park","ライホープ レクリエーション パーク","Ryhope Recreation Park","","1000","https://media.api-sports.io/football/venues/11842.png"
"Hextable, Kent","England","London Hire Stadium","ロンドン ハイヤー スタジアム","Lower Road","","1000","https://media.api-sports.io/football/venues/18972.png"
"Swaffham, Norfolk","England","Shoemakers Lane","シューメーカーズ レーン","Shoemakers Lane","","1000","https://media.api-sports.io/football/venues/11843.png"
"Tadley, Hampshire","England","Barlow's Park","バーロウズパーク","Silchester Road","","1000","https://media.api-sports.io/football/venues/11844.png"
"Takeley, Essex","England","Sirona Medical Arena","シロナメディカルアリーナ","Station Road","","2000","https://media.api-sports.io/football/venues/18973.png"
"Tavistock, Devon","England","Langsford Park","ラングスフォードパーク","","","2000","https://media.api-sports.io/football/venues/11846.png"
"Thackley, West Yorkshire","England","Dennyfield","デニーフィールド","Ainsbury Avenue","","3000","https://media.api-sports.io/football/venues/11847.png"
"Thetford, Norfolk","England","Mundford Road","マンドフォードロード","Mundford Road","","1500","https://media.api-sports.io/football/venues/11848.png"
"Thornaby-on-Tees, North Yorkshire","England","Teesdale Park","ティーズデールパーク","Acklam Road","","5000","https://media.api-sports.io/football/venues/11849.png"
"Thornbury, South Gloucestershire","England","Mundy Playing Fields","マンディ プレイング フィールド","Kington Lane","","1000","https://media.api-sports.io/football/venues/12181.png"
"Tividale, West Midlands","England","The Beeches","ビーチズ","Packwood Road","","3000","https://media.api-sports.io/football/venues/6253.png"
"Tring, Hertfordshire","England","The Michael Anthony Stadium","マイケル・アンソニー・スタジアム","Cow Lane","","2000","https://media.api-sports.io/football/venues/20886.png"
"Gloucester, Gloucestershire","England","Glevum Park","グレヴム パーク","Lower Tuffley Lane","","1000","https://media.api-sports.io/football/venues/11851.png"
"Royal Tunbridge Wells","England","Culverden Stadium","カルバーデンスタジアム","Culverden Down","","3750","https://media.api-sports.io/football/venues/11852.png"
"Uckfield, East Sussex","England","The Oaks","オークス","Framfield","","1000","https://media.api-sports.io/football/venues/11853.png"
"Portsmouth","England","HMS Temeraire Sports Ground","HMSテメレア運動場","St George&apos;s Road, Portsmouth","","1000","https://media.api-sports.io/football/venues/19855.png"
"Brighton, East Sussex","England","Withdean Stadium","ウィズディーンスタジアム","Withdean Road, Withdean","","8850","https://media.api-sports.io/football/venues/12183.png"
"Ellesmere Port, Cheshire","England","The vanEupen Arena","ファンオイペンアリーナ","Rivacre Road, Hooton","","2500","https://media.api-sports.io/football/venues/12184.png"
"Windsor, Berkshire","England","Stag Meadow","スタッグメドウ","St. Leonards Road","","4500","https://media.api-sports.io/football/venues/11854.png"
"Walsall Wood, West Midlands","England","Oak Park","オークパーク","Coppice Road","","1500","https://media.api-sports.io/football/venues/11855.png"
"Walsham-le-Willows, Suffolk","England","Sumner Road","サムナーロード","Sumner Road","","1000","https://media.api-sports.io/football/venues/11856.png"
"London","England","Wadham Lodge Stadium","ワダムロッジスタジアム","Kitchener Road, Walthamstow","","4000","https://media.api-sports.io/football/venues/11857.png"
"Wellingborough, Northamptonshire","England","Dog & Duck Ground","犬とアヒルのグラウンド","London Road","","2500","https://media.api-sports.io/football/venues/6256.png"
"London","England","Vale Farm Stadium","ヴェイルファームスタジアム","Watford Road, Wembley","","3348","https://media.api-sports.io/football/venues/11859.png"
"West Auckland, County Durham","England","Darlington Road","ダーリントンロード","Darlington Road","","6728","https://media.api-sports.io/football/venues/11860.png"
"Manchester","England","Step Places Stadium","ステッププレイススタジアム","Brookburn Road, Chorlton-cum-Hardy","","1000","https://media.api-sports.io/football/venues/18866.png"
"Westbury, Wiltshire","England","Meadow Lane","メドウ レーン","Meadow Lane","","1000","https://media.api-sports.io/football/venues/11861.png"
